  10,   493.44754,   1864.135132
  20,  2684.35449,   8388.608398
  30,  3871.66528,   8882.055664
  40,  3273.60303,  10737.417969
  50,  4032.98462,  11397.565430
  60,  4071.77368,  11999.598633
  70,  4134.04102,  11601.986328
  80,  3379.20312,  12184.304688
  90,  3795.96216,  12157.644531
 100,  3816.47290,  12729.298828
 200,  2947.63770,  10951.185547
 300,  2399.24585,  11018.042969
 400,  1555.41724,  11606.889648
 500,  1914.11304,  11705.208008
 600,  1927.89246,  11797.786133
 700,  1546.10352,  11596.094727
